run_id,factory_name,factory_location,factory_type,date,base_production_capacity,adjusted_production_units,production_impact_factor,active_risks,lead_time_days,simulated_demand_units,shipped_units,inventory_level_units,shortage_units,safety_stock_level
run_020,Foundry_Taiwan_A,Taiwan,Foundry,2020-01-05,10026,9581,1.0,none,32,8571,8571,59526,0,5851
run_020,IDM_USA_B,USA,IDM,2020-01-05,9856,9843,1.0,none,30,8557,8557,51947,0,5066
run_020,OSAT_Malaysia_C,Malaysia,OSAT,2020-01-05,16946,16787,1.0,none,25,10088,10088,80838,0,7413
run_020,Foundry_Germany_D,Germany,Foundry,2020-01-05,8463,8758,1.0,none,33,8275,8275,38944,0,3846
run_020,Foundry_Taiwan_A,Taiwan,Foundry,2020-01-12,10026,11032,1.0,none,30,6295,6295,64263,0,5851
run_020,IDM_USA_B,USA,IDM,2020-01-12,9856,9653,1.0,none,25,4762,4762,56838,0,5066
run_020,OSAT_Malaysia_C,Malaysia,OSAT,2020-01-12,16946,15880,1.0,none,24,6587,6587,90131,0,7413
run_020,Foundry_Germany_D,Germany,Foundry,2020-01-12,8463,8566,1.0,none,32,5396,5396,42114,0,3846
run_020,Foundry_Taiwan_A,Taiwan,Foundry,2020-01-19,10026,10409,1.0,none,29,6345,6345,68327,0,5851
run_020,IDM_USA_B,USA,IDM,2020-01-19,9856,9979,1.0,none,24,9373,9373,57444,0,5066
run_020,OSAT_Malaysia_C,Malaysia,OSAT,2020-01-19,16946,18517,1.0,none,21,7416,7416,101232,0,7413
run_020,Foundry_Germany_D,Germany,Foundry,2020-01-19,8463,8248,1.0,none,32,9044,9044,41318,0,3846
run_020,Foundry_Taiwan_A,Taiwan,Foundry,2020-01-26,10026,9925,1.0,none,27,10724,10724,67528,0,5851
run_020,IDM_USA_B,USA,IDM,2020-01-26,9856,9360,1.0,none,26,10427,10427,56377,0,5066
run_020,OSAT_Malaysia_C,Malaysia,OSAT,2020-01-26,16946,16859,1.0,none,25,8828,8828,109263,0,7413
run_020,Foundry_Germany_D,Germany,Foundry,2020-01-26,8463,2274,0.263,cyber_attack (Active),47,9183,9183,34409,0,3846
run_020,Foundry_Taiwan_A,Taiwan,Foundry,2020-02-02,10026,9828,1.0,none,30,6854,6854,70502,0,5851
run_020,IDM_USA_B,USA,IDM,2020-02-02,9856,6953,0.75,trade_restrictions (Active),38,8110,8110,55220,0,5066
run_020,OSAT_Malaysia_C,Malaysia,OSAT,2020-02-02,16946,4245,0.259,pandemic_closure (Active),68,6085,6085,107423,0,7413
run_020,Foundry_Germany_D,Germany,Foundry,2020-02-02,8463,2138,0.263,cyber_attack (Active),43,6018,6018,30529,0,3846
run_020,Foundry_Taiwan_A,Taiwan,Foundry,2020-02-09,10026,9849,1.0,none,27,9551,9551,70800,0,5851
run_020,IDM_USA_B,USA,IDM,2020-02-09,9856,7342,0.75,trade_restrictions (Active),41,10635,10635,51927,0,5066
run_020,OSAT_Malaysia_C,Malaysia,OSAT,2020-02-09,16946,4375,0.259,pandemic_closure (Active),69,10310,10310,101488,0,7413
run_020,Foundry_Germany_D,Germany,Foundry,2020-02-09,8463,2309,0.263,cyber_attack (Active),46,6633,6633,26205,0,3846
run_020,Foundry_Taiwan_A,Taiwan,Foundry,2020-02-16,10026,8168,0.776,geopolitical_tension (Active),33,7471,7471,71497,0,5851
run_020,IDM_USA_B,USA,IDM,2020-02-16,9856,7254,0.75,trade_restrictions (Active),41,5283,5283,53898,0,5066
run_020,OSAT_Malaysia_C,Malaysia,OSAT,2020-02-16,16946,4269,0.259,pandemic_closure (Active),66,9803,9803,95954,0,7413
run_020,Foundry_Germany_D,Germany,Foundry,2020-02-16,8463,5071,0.631,cyber_attack (Recovery),34,7835,7835,23441,0,3846
run_020,Foundry_Taiwan_A,Taiwan,Foundry,2020-02-23,10026,7944,0.776,geopolitical_tension (Active),37,7618,7618,71823,0,5851
run_020,IDM_USA_B,USA,IDM,2020-02-23,9856,6854,0.75,trade_restrictions (Active),38,7513,7513,53239,0,5066
run_020,OSAT_Malaysia_C,Malaysia,OSAT,2020-02-23,16946,4135,0.259,pandemic_closure (Active),68,9800,9800,90289,0,7413
run_020,Foundry_Germany_D,Germany,Foundry,2020-02-23,8463,8356,1.0,cyber_attack (Recovery),31,5879,5879,25918,0,3846
run_020,Foundry_Taiwan_A,Taiwan,Foundry,2020-03-01,10026,7786,0.776,geopolitical_tension (Active),39,9369,9369,70240,0,5851
run_020,IDM_USA_B,USA,IDM,2020-03-01,9856,7565,0.75,trade_restrictions (Active),42,5990,5990,54814,0,5066
run_020,OSAT_Malaysia_C,Malaysia,OSAT,2020-03-01,16946,4313,0.259,pandemic_closure (Active),67,9103,9103,85499,0,7413
run_020,Foundry_Germany_D,Germany,Foundry,2020-03-01,8463,7115,0.872,geopolitical_tension (Active),55,5835,5835,27198,0,3846
run_020,Foundry_Taiwan_A,Taiwan,Foundry,2020-03-08,10026,8630,0.888,geopolitical_tension (Recovery),30,5370,5370,73500,0,5851
run_020,IDM_USA_B,USA,IDM,2020-03-08,9856,7808,0.833,trade_restrictions (Recovery),26,6894,6894,55728,0,5066
run_020,OSAT_Malaysia_C,Malaysia,OSAT,2020-03-08,16946,4261,0.259,pandemic_closure (Active),68,7390,7390,82370,0,7413
run_020,Foundry_Germany_D,Germany,Foundry,2020-03-08,8463,3569,0.427,"cyber_attack (Active), geopolitical_tension (Active)",55,7977,7977,22790,0,3846
run_020,Foundry_Taiwan_A,Taiwan,Foundry,2020-03-15,10026,9852,1.0,geopolitical_tension (Recovery),24,8110,8110,75242,0,5851
run_020,IDM_USA_B,USA,IDM,2020-03-15,9856,8942,0.917,trade_restrictions (Recovery),25,5508,5508,59162,0,5066
run_020,OSAT_Malaysia_C,Malaysia,OSAT,2020-03-15,16946,7830,0.444,pandemic_closure (Recovery),24,11202,11202,78998,0,7413
run_020,Foundry_Germany_D,Germany,Foundry,2020-03-15,8463,3624,0.427,"cyber_attack (Active), geopolitical_tension (Active)",59,6720,6720,19694,0,3846
run_020,Foundry_Taiwan_A,Taiwan,Foundry,2020-03-22,10026,9998,1.0,none,32,8269,8269,76971,0,5851
run_020,IDM_USA_B,USA,IDM,2020-03-22,9856,9995,1.0,trade_restrictions (Recovery),24,6881,6881,62276,0,5066
run_020,OSAT_Malaysia_C,Malaysia,OSAT,2020-03-22,16946,9912,0.629,pandemic_closure (Recovery),26,6652,6652,82258,0,7413
run_020,Foundry_Germany_D,Germany,Foundry,2020-03-22,8463,3518,0.427,"cyber_attack (Active), geopolitical_tension (Active)",57,10258,10258,12954,0,3846
run_020,Foundry_Taiwan_A,Taiwan,Foundry,2020-03-29,10026,11118,1.0,none,29,7194,7194,80895,0,5851
run_020,IDM_USA_B,USA,IDM,2020-03-29,9856,10621,1.0,none,27,6082,6082,66815,0,5066
run_020,OSAT_Malaysia_C,Malaysia,OSAT,2020-03-29,16946,14109,0.815,pandemic_closure (Recovery),25,7280,7280,89087,0,7413
run_020,Foundry_Germany_D,Germany,Foundry,2020-03-29,8463,5474,0.65,"cyber_attack (Recovery), geopolitical_tension (Active)",55,8558,8558,9870,0,3846
run_020,Foundry_Taiwan_A,Taiwan,Foundry,2020-04-05,10026,10402,1.0,none,31,6295,6295,85002,0,5851
run_020,IDM_USA_B,USA,IDM,2020-04-05,9856,9566,1.0,none,27,6632,6632,69749,0,5066
run_020,OSAT_Malaysia_C,Malaysia,OSAT,2020-04-05,16946,17007,1.0,pandemic_closure (Recovery),23,11529,11529,94565,0,7413
run_020,Foundry_Germany_D,Germany,Foundry,2020-04-05,8463,7100,0.872,"cyber_attack (Recovery), geopolitical_tension (Active)",50,6176,6176,10794,0,3846
run_020,Foundry_Taiwan_A,Taiwan,Foundry,2020-04-12,10026,10134,1.0,none,30,6987,6987,88149,0,5851
run_020,IDM_USA_B,USA,IDM,2020-04-12,9856,9637,1.0,none,26,6383,6383,73003,0,5066
run_020,OSAT_Malaysia_C,Malaysia,OSAT,2020-04-12,16946,17676,1.0,none,21,5206,5206,107035,0,7413
run_020,Foundry_Germany_D,Germany,Foundry,2020-04-12,8463,7690,0.872,geopolitical_tension (Active),54,5571,5571,12913,0,3846
run_020,Foundry_Taiwan_A,Taiwan,Foundry,2020-04-19,10026,10521,1.0,none,28,7115,7115,91555,0,5851
run_020,IDM_USA_B,USA,IDM,2020-04-19,9856,10219,1.0,none,28,11387,11387,71835,0,5066
run_020,OSAT_Malaysia_C,Malaysia,OSAT,2020-04-19,16946,16146,1.0,none,23,6697,6697,116484,0,7413
run_020,Foundry_Germany_D,Germany,Foundry,2020-04-19,8463,7829,0.936,geopolitical_tension (Recovery),34,8715,8715,12027,0,3846
run_020,Foundry_Taiwan_A,Taiwan,Foundry,2020-04-26,10026,10169,1.0,none,26,7110,7110,94614,0,5851
run_020,IDM_USA_B,USA,IDM,2020-04-26,9856,9509,1.0,none,24,9684,9684,71660,0,5066
