run_id,factory_name,factory_location,factory_type,date,base_production_capacity,adjusted_production_units,production_impact_factor,active_risks,lead_time_days,simulated_demand_units,shipped_units,inventory_level_units,shortage_units,safety_stock_level
run_044,Foundry_Taiwan_A,Taiwan,Foundry,2020-01-05,14182,14409,1.0,none,27,8923,8923,67084,0,6159
run_044,IDM_USA_B,USA,IDM,2020-01-05,8097,8472,1.0,none,28,5777,5777,44263,0,4156
run_044,OSAT_Malaysia_C,Malaysia,OSAT,2020-01-05,16440,15984,1.0,none,22,7561,7561,69894,0,6147
run_044,Foundry_Germany_D,Germany,Foundry,2020-01-05,9838,9348,1.0,none,32,5253,5253,47008,0,4291
run_044,Foundry_Taiwan_A,Taiwan,Foundry,2020-01-12,14182,13495,1.0,none,25,7578,7578,73001,0,6159
run_044,IDM_USA_B,USA,IDM,2020-01-12,8097,7948,1.0,none,27,8384,8384,43827,0,4156
run_044,OSAT_Malaysia_C,Malaysia,OSAT,2020-01-12,16440,17398,1.0,none,21,8562,8562,78730,0,6147
run_044,Foundry_Germany_D,Germany,Foundry,2020-01-12,9838,10678,1.0,none,33,7559,7559,50127,0,4291
run_044,Foundry_Taiwan_A,Taiwan,Foundry,2020-01-19,14182,14765,1.0,none,32,6342,6342,81424,0,6159
run_044,IDM_USA_B,USA,IDM,2020-01-19,8097,7643,1.0,none,28,8877,8877,42593,0,4156
run_044,OSAT_Malaysia_C,Malaysia,OSAT,2020-01-19,16440,15494,1.0,none,24,8467,8467,85757,0,6147
run_044,Foundry_Germany_D,Germany,Foundry,2020-01-19,9838,9669,1.0,none,33,5966,5966,53830,0,4291
run_044,Foundry_Taiwan_A,Taiwan,Foundry,2020-01-26,14182,13160,1.0,none,25,7241,7241,87343,0,6159
run_044,IDM_USA_B,USA,IDM,2020-01-26,8097,8362,1.0,none,27,7825,7825,43130,0,4156
run_044,OSAT_Malaysia_C,Malaysia,OSAT,2020-01-26,16440,16435,1.0,none,23,8206,8206,93986,0,6147
run_044,Foundry_Germany_D,Germany,Foundry,2020-01-26,9838,10072,1.0,none,34,6250,6250,57652,0,4291
run_044,Foundry_Taiwan_A,Taiwan,Foundry,2020-02-02,14182,3833,0.285,natural_disaster (Active),56,5645,5645,85531,0,6159
run_044,IDM_USA_B,USA,IDM,2020-02-02,8097,8743,1.0,none,29,6662,6662,45211,0,4156
